T001,10000.00,USD,US,IN,TRADE,2024-03-15
T002,5000.00,GBP,GB,SG,INVESTMENT,2024-03-15
T003,200000.00,INR,IN,IN,SALARY,2024-03-15
T004,15000.00,EUR,FR,DE,EXPORT,2024-03-16
T005,25000.00,USD,SG,US,TRADE,2024-03-16
T006,12000.00,AUD,AU,GB,SERVICES,2024-03-17
T007,9500.00,CAD,CA,IN,IMPORT,2024-03-17
T008,18000.00,JPY,JP,SG,TECH,2024-03-18
T009,30000.00,USD,US,FR,TRAVEL,2024-03-18
T010,45000.00,GBP,GB,IN,BUSINESS,2024-03-19
T011,22000.00,EUR,DE,SG,TRADE,2024-03-19
T012,60000.00,USD,US,GB,FINANCE,2024-03-20
T013,11000.00,INR,IN,US,EDUCATION,2024-03-20
T014,7000.00,SGD,SG,GB,TECH,2024-03-21
T015,8000.00,EUR,FR,JP,TRADE,2024-03-21
T016,51000.00,CNY,CN,IN,MANUFACTURING,2024-03-22
T017,9200.00,USD,US,AU,TRAVEL,2024-03-22
T018,12500.00,GBP,GB,CA,SERVICES,2024-03-23
T019,33000.00,SGD,SG,IN,INVESTMENT,2024-03-23
T020,40000.00,EUR,DE,FR,EXPORT,2024-03-24
